caminho,tipo,natureza,finalidade,uso,bytes,sha256,dependencias,saidas,usado_por
docs/ANALISE-DOSSIE-COMPLEMENTAR.md,md,documento editável,"Auditoria editorial das lacunas, contradições e prioridades do dossiê técnico",Revisar antes de promover alegações técnicas,16415,5895b05b717636543e7852a256771089ca26035d87a1e52053100044892b1481,,,
docs/ARQUITETURA.md,md,documento editável,"Visão geral das camadas, arquivos e materiais",Orientação de desenvolvimento,3300,dd5215d223c6056afc52ee990fade006a68f79cc4dfcc4e45a3ccc32a124f8fc,INTEIA_F1_Master.blend,,CONTRIBUTING.md; README.md; docs/OUTRO-PC.md; docs/README.md
docs/BLENDER.md,md,documento editável,"Uso das coleções, Append, animação e materiais no Blender",Reutilização Blender,2220,2161c1fdfc3e7922b3c6ff298199d610117698b9a9c640d369dcdeefc192237c,,,README.md; docs/OUTRO-PC.md; docs/README.md
docs/BOX-LABORATORIO.md,md,documento editável,Composição e reutilização do box procedural,Ambiente e exportação,4670,ec98da68342a586b1ad3a3ebf8aea7e2b1c2aa27042f0187d01ea2d5dfb19aaa,,,README.md; docs/README.md
docs/DESENVOLVIMENTO.md,md,documento editável,"Instalação, build, servidor e testes",Reprodução do projeto,4011,68ee861a4fac308e2a2f13c2274e06fe169b5fbdd270289e55c9d613987086a7,,,CONTRIBUTING.md; README.md; README.md; docs/OUTRO-PC.md; docs/README.md
docs/DIREITOS-E-PROCEDENCIA.md,md,documento editável,Separa titularidade INTEIA de geometria fornecida e terceiros,Procedência e permissões,1581,bb4df5145aee2a7db07f8cb7aff830658f83a9bc4438fdb86a69a35d789dd498,,,LEIA-ME.md; README.md; THIRD-PARTY-NOTICES.md; docs/README.md
docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md,md,especificação editável,Contrato de modelagem dos catorze sistemas internos do carro,"Orientar módulos procedurais, integração e aceite visual",27083,7f8007810d74446b50e98b33ebd8cef8ec13d81c9df58cf6ab3c29d502773e35,,,README.md; docs/ANALISE-DOSSIE-COMPLEMENTAR.md; docs/README.md
docs/INTEGRACAO-MOTOR.md,md,documento editável,Operação e procedência da integração do carro final e motor,Consultar controles e limites,2096,bd1ab93d33a354a1c522a75c8d3fee4831f40589ead356bee45414e1620b966f,,,README.md; docs/README.md; docs/pesquisa-sistemas-carro-video.md
docs/INTEGRACAO.md,md,documento editável,Integração dos GLBs e fontes em outros projetos,Sites e jogos,2578,cffcadec8f43e58aa260d28e712f7caca431bba7e54f47ddcf366bef4639f967,web/src/mechanics.js,,README.md; docs/README.md
docs/OUTRO-PC.md,md,documento editável,Instalação e sincronização segura entre computadores,Continuar o desenvolvimento em outro clone,2281,2984f2e50a54fb9f3fa84ced17e3e934d34231507a34ad6c0180916e41c59be8,,,README.md; docs/README.md
docs/PILOTO-E-CAPACETE.md,md,documento editável,"Referências, operação e limites do estudo do piloto",Consultar proporções e controles,3159,92a8e3f399c7503692a1d56d1727e310fc1ed67f65be7019b493265f376206dc,,,README.md; docs/README.md
docs/PUBLICACAO.md,md,documento editável,"Endereços públicos, atualização e evidência da publicação",Publicar e verificar novas revisões,4477,c63e0ddc1209b140185dad0156e230677ca9c4a18b7669c3260485e7bf7f517c,,,docs/OUTRO-PC.md; docs/README.md; docs/SISTEMAS-3D.md; docs/SOBRESSALENTES.md
docs/README.md,md,documentação,Índice canônico da documentação do projeto,Começar por este arquivo e abrir apenas o guia necessário,3070,7fef5009fd40466ba66b53770391540353659ca3246bbc8cc275e9f81827f576,,,CONTRIBUTING.md; LEIA-ME.md; README.md; README.md; docs/ARQUITETURA.md
docs/REVISAO-TUNEL-VISUAL.md,md,documento editável,Revisões e limites da representação visual do fluxo,Histórico do túnel,4051,07cb6513fe1ae525a137a6ebdd0155d87d438462b7d422b2aedb7b84a7113375,,,
docs/SISTEMAS-3D.md,md,documento editável,"Guia operacional da bancada Sistemas, do asset publicado e de sua regeneração","Desenvolvimento, validação e limites dos catorze sistemas internos",8042,a3374928e284b78a4970b7284da6a15f26376aecde010d2f2e1ab1d1575e4bed,,,README.md; docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; docs/README.md
docs/SOBRESSALENTES.md,md,documento editável,"Guia das peças sobressalentes do Box: cenários, slots, arquivos e regeneração",Configuração de pista na bancada Carro,3579,1f9cde11d28c99727380cc1eaa6b5da025ebc011f2bf894f07f8eb10f4646224,,,README.md; docs/README.md
docs/VALIDACAO.md,md,documento editável,Síntese de testes históricos e limites por destino,Leitura crítica das evidências,2128,eaeee10895878792e12b66eef8aa42e46525d9ddbcacd0b4519f8bf29104fb56,,,LEIA-ME.md; README.md; docs/README.md; docs/pesquisa-sistemas-carro-video.md
docs/mapas/GRAFOS.md,md,documentação/código de mapeamento paralelo,Diagramas Mermaid e leitura do grafo geral paralelo,Complementar a esta análise; mantido pela outra tarefa,23920,0f0236bd82fb1550fd3e386cba222885eb2b62095377d333a26d4cad9756f5cd,,,
docs/mapas/INVENTARIO.md,md,documentação/código de mapeamento paralelo,Inventário legível de arquivos da conversa paralela,Complementar a esta análise; mantido pela outra tarefa,48877,b49eebe1c29202e06c653f66c96bf4d0e5654634537942bd99f08b7cabc2b3f5,,,
docs/mapas/MANUTENCAO.md,md,documentação/código de mapeamento paralelo,Atualização e manutenção do gerador de mapas paralelo,Complementar a esta análise; mantido pela outra tarefa,6127,06526b39e523f75d573daa335061da0a08522e86107d9bd866977b5c34ce8a3b,,,docs/DESENVOLVIMENTO.md; docs/README.md
docs/mapas/MODULOS.md,md,documentação/código de mapeamento paralelo,Visão de módulos e responsabilidades do mapa paralelo,Complementar a esta análise; mantido pela outra tarefa,8831,b7157d4f1254b709e7cfdaf401f7afed4ebe06a117bb3083fbcec05f84afe44c,,,docs/ARQUITETURA.md
docs/mapas/PRODUCAO.md,md,documentação/código de mapeamento paralelo,Pipeline de produção de assets documentado no mapa paralelo,Complementar a esta análise; mantido pela outra tarefa,17498,0495d329c060197cb36550ff22396cf138d1f33a702f785a3d8bd727b592162b,,,
docs/mapas/README.md,md,documentação/código de mapeamento paralelo,Entrada do mapa geral produzido pela conversa paralela,Complementar a esta análise; mantido pela outra tarefa,3456,87e74d70938e52bf70b2152308b4c83782b3f4338e13761d3f48d5560d088204,,,README.md; docs/ARQUITETURA.md; docs/OUTRO-PC.md; docs/README.md
docs/mapas/REUSO.md,md,documentação/código de mapeamento paralelo,Receitas de reutilização do mapa geral paralelo,Complementar a esta análise; mantido pela outra tarefa,16017,6973e291a459d8920511c8a46b2d80bc2f266ce84d8a9a44bdcadcd5456876b6,,,docs/ARQUITETURA.md
docs/mapas/VERIFICACAO.md,md,documentação/código de mapeamento paralelo,Resultados de verificação registrados pela conversa paralela,Complementar a esta análise; mantido pela outra tarefa,3817,ff4c6c69cf7835e293abb7cab5b95b88776f221b284c05cc4517eadb5a265e69,,,
docs/mapas/cobertura.json,json,documentação/código de mapeamento paralelo,"Contagens, escopo e exclusões do mapa paralelo",Complementar a esta análise; mantido pela outra tarefa,1128,f8ca49c6ff06a2ba5b7a57eb8ece9367a25159194325d893ee4f632d290a9ed8,,,
docs/mapas/componentes.json,json,documentação/código de mapeamento paralelo,Catálogo de componentes GLB do mapa paralelo,Complementar a esta análise; mantido pela outra tarefa,33191,b88c2c5860f6a4c20846669d651605a92a4f3fd747c248cccb079f760318a11c,,,
docs/mapas/controles.json,json,documentação/código de mapeamento paralelo,Índice de controles DOM extraído pelo gerador paralelo,Complementar a esta análise; mantido pela outra tarefa,55922,9d529aee0d833eb7e2fc27184ffc70abdb5600c6793cf24db31b234f4374247e,,,
docs/mapas/dependencias.json,json,documentação/código de mapeamento paralelo,Relações de dependências extraídas pelo gerador paralelo,Complementar a esta análise; mantido pela outra tarefa,54660,68fd309fb392087edf45a80e399b96d4ab990f708770b424480b3abfc13a613b,,,
docs/mapas/graphify-extracao.json,json,documentação/código de mapeamento paralelo,Extração graphify preservada pela conversa paralela,Complementar a esta análise; mantido pela outra tarefa,258641,a7b32a07d5b95fae8daa7c8a603046fb5d5e060bb2b94cb6c784e838ab00b3a4,,,
docs/mapas/index.html,html,documentação/código de mapeamento paralelo,Interface navegável do mapa geral paralelo,Complementar a esta análise; mantido pela outra tarefa,451069,1cf03dd12498b45cefe0d3824d85417599a030b666203c893076aa69fad2c55d,,,README.md; docs/PUBLICACAO.md
docs/mapas/inventario.json,json,documentação/código de mapeamento paralelo,Inventário estruturado de arquivos do gerador paralelo,Complementar a esta análise; mantido pela outra tarefa,561564,76f9c36a36d236471a71679a2c2de9a4d4d4e75952c494bbf49599661ddf95a7,,,
docs/pesquisa-sistemas-carro-video.md,md,documento editável,Pesquisa e limites das referências usadas para os sistemas do carro,"Separar evidência observada, hipótese didática e versão regulatória",21202,c24bcf4020fe87d8c7ce2557981f7e8344c70b3d0bb92303424abe54eff8e51d,,,docs/ANALISE-DOSSIE-COMPLEMENTAR.md; docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; docs/README.md
documentacao/Comparacao-iluminacao.html,html,documento de apresentação,Comparação visual histórica de iluminação em HTML,Avaliação visual; não entrada do aplicativo,370368,bec55790e4b90da23b5f7a12ad795542a41e53882e6f14a834924708e35dc702,,,
documentacao/INTEIA-personalizacao.png,png,imagem gerada,Captura da personalização web em uma sessão anterior,Documentação visual; não persistência de configuração,83329,a781a771df9f4b7d3b991538a99b48a9d568d1f9d3e1085bb5cbc6e008848ace,,,
documentacao/componentes-origem.json,json,metadados derivados,"Metadados dos 97 componentes: IDs, categorias, pivôs, limites e sourceObject",Rastrear peças até objetos de origem; caminhos outputs históricos,78871,91415108f098501d5d54c3ab0d1323df9b5a491c1476d8cd3d04645ad087fefc,,,docs/ESPECIFICACAO-ASSET-3D-SISTEMAS-F1.md; docs/pesquisa-sistemas-carro-video.md
documentacao/historico-avaliacoes.md,md,documento editável,Pareceres históricos e subjetivos sobre versões visuais,Histórico; não certificação física,5659,10dbbd3d9d2a0dad95ef77d305999764ed0d9c0b5d6693e3e5d90220d22cfb90,,,
ferramentas/gerar_sistemas.py,py,ferramenta editável,Pipeline de geração e otimização dos sistemas internos,Executar a partir da raiz e revisar os derivados antes de integrar,14534,ebe02d14e1a8436e1e9545e3337d98b9d8187ea5deaeda6ad8e4553b27d3ab5b,,,
ferramentas/gerar_sobressalentes.py,py,ferramenta editável,"Gerador Blender das peças sobressalentes (pneus, asas, asa de viga, venezianas)",Executar com Blender 5.2 em modo background; grava GLB e manifesto,16085,a209f9b5d0472e3d29d7e9c78378de5fcbd2809c972a93f8ebfb360a55fd71ae,,,
ferramentas/manifest.cjs,cjs,código fonte editável,Calcula bytes e SHA-256 de 14 entregas e grava o manifesto,Node.js; sobrescreve manifesto-sha256.json,1017,2eb5e9638005525d7a1b455623edadd1ad6433b981766fbd26cc03d779f1c6bb,external:fs; external:path; external:crypto; INTEIA_F1_Master.blend; modelos/INTEIA_F1_estatico.glb; modelos/INTEIA_F1_animado.glb; texturas/INTEIA_Carbono_BaseColor.png; web/assets/carro-movable.glb; web/index.html; Previa-Blender.png; ambientes/INTEIA-box-laboratorio.glb; ambientes/INTEIA_Box_com_carro.blend; ambientes/Previa-Box.png; identidade/INTEIA-principal.svg; identidade/INTEIA-negativo.svg; identidade/INTEIA-monocromatico.svg; identidade/INTEIA-simbolo.svg,manifesto-sha256.json,
ferramentas/mapa-template.html,html,documentação/código de mapeamento paralelo,Template da interface do mapa geral da conversa paralela,Complementar a esta análise; mantido pela outra tarefa,11578,276626fb2b30c065c1cbd9561506cd8956ed44400c0160483eb204e17a220567,,,
ferramentas/mapear.py,py,documentação/código de mapeamento paralelo,Gerador do mapa geral da conversa paralela; saídas em docs/mapas,Complementar a esta análise; mantido pela outra tarefa,22269,545c9b7235100c4629ff730be10daabd4fdf3684c7c1ad0cc790cae114d6907e,,,
ferramentas/merge-animation.cjs,cjs,código fonte editável,Reúne canais de animação do GLB animado em um único clipe,Node.js; altera modelos/INTEIA_F1_animado.glb,911,8870463d9db1c8daa8c4646331e8af726e45963f4840b6d91b8937a450890b2f,external:fs; external:path; modelos/INTEIA_F1_animado.glb,modelos/INTEIA_F1_animado.glb,
ferramentas/otimizar_sistemas.mjs,mjs,ferramenta editável,Pipeline de geração e otimização dos sistemas internos,Executar a partir da raiz e revisar os derivados antes de integrar,3647,edcd36ff24d2a0a01c9ef859e5529bbf3c6694747b3da9cf8c2e0486b0bb72fe,external:node:crypto; external:node:fs; external:node:path; external:node:module; external:node:url,,
ferramentas/package_blender.py,py,código fonte editável,"Importa base web e produz Blender mestre, texturas, GLBs e evidências",Python do Blender; recria entregas,10622,6a8bfa4ca77b5dbe8db20b9fca5c2ba1a5d1fbf819dee4808eb316b95b4a0d6a,web/assets/carro-movable.glb,texturas/INTEIA_Carbono_BaseColor.png; modelos/INTEIA_F1_estatico.glb; modelos/INTEIA_F1_animado.glb; INTEIA_F1_Master.blend; Previa-Blender.png; validacao-criacao.json,
ferramentas/package_garage.py,py,código fonte editável,Importa GLB do box e GLB estático do carro para compor uma cena Blender,Python do Blender; recria ambiente,5795,4a863ebd4971f51f74c940e03ddf7018180f31323db34c88dd0d7118ddc802d0,ambientes/INTEIA-box-laboratorio.glb; modelos/INTEIA_F1_estatico.glb,ambientes/INTEIA_Box_com_carro.blend; ambientes/validacao-box.json,docs/ACABAMENTO-E-RENDER.md
ferramentas/render_garage_preview.py,py,código fonte editável,Abre cena Blender do box e renderiza prévia,Python do Blender; grava ambientes/Previa-Box.png,498,057500ad24adf945bc83a7bcef180779d70b571e74767f96a791bf83cd3a17d2,ambientes/INTEIA_Box_com_carro.blend,ambientes/Previa-Box.png,docs/ACABAMENTO-E-RENDER.md
ferramentas/sistemas/lib.py,py,fonte Blender editável,Biblioteca geométrica compartilhada pelos sistemas internos,Reutilizar pelos módulos sNN; mudanças afetam múltiplos derivados,52452,de04806e4bc0a0b411dc678197fd5b7d41a3a20a07ef2a355e722ce70f13d19d,,,
ferramentas/sistemas/previews/aero-assoalho-por-baixo.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1113507,5c13f1bb2d77a84159bdfbc31a2af73fb55c0107ebb3bb5e478fd1a64c4764a2,,,
ferramentas/sistemas/previews/aero-bargeboards.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1001595,4e884887a680c7844cf4df265e82f92d9a87f57fd401f147dc621ba52de44609,,,
ferramentas/sistemas/previews/aero-difusor.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1097890,172e28c4316f7199d218f4b345c149bf5e0e36938d2c69cd571556980e94abde,,,
ferramentas/sistemas/previews/aero-drs.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1033830,61a4ef8340ea4ba701eab0ebe5d11d1dd8fd358d84b42487f0d9d36660a436d0,,,
ferramentas/sistemas/previews/aero-hero.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,973692,6e7b8b9efde54b464b6a0aa8504000784336f2ff7aa99cf2f525ef820d3f977c,,,
ferramentas/sistemas/previews/aero-side.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,936741,faee865b3af81261eea451099a1131a203d5a7fd1d3abdb72d0804b8f7bedb59,,,
ferramentas/sistemas/previews/brakes-brake-by-wire.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,780619,c2250f51e07d2a4e1c48388f23eb64b3b0bb469f2026fb04956a660170725b60,,,
ferramentas/sistemas/previews/brakes-canto-dianteiro.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1140866,44a159654d32106b2b46948260867e551f0d77f69126e28a03cd7f322387108a,,,
ferramentas/sistemas/previews/brakes-canto-por-dentro.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1071909,8be4e2814968e8ec5743d1c29a3df81f31f3c8e82a1e64c4cf19104026047ee2,,,
ferramentas/sistemas/previews/brakes-hero.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,988670,0a4f59f8d07a4e10a4bf93f930491a3682db0c7d457fae28854bedec525320ca,,,
ferramentas/sistemas/previews/brakes-pedaleira.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1002961,b8f2c1616bd81ed4a1a7b072795f1052e00273f8a7738951c00d9eaff325fc90,,,
ferramentas/sistemas/previews/brakes-side.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,953334,5aa8aaa25031c3908564b8d69a464c772fd8acc3e0bdbc1503a41d46e019a411,,,
ferramentas/sistemas/previews/cockpit-assento-arnes.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1094047,a1ce2d5d5efd266e9e219fdd706217adbdd22a8cd64cfb449554a4830888e8fa,,,
ferramentas/sistemas/previews/cockpit-hans.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1115179,a2a0a8e2129f9f92817339b97176f23c620741d3c775735a99807f80192546ae,,,
ferramentas/sistemas/previews/cockpit-hero.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1025462,109baa40c2059126f18a8faefe8eae65e421f3996454157ff0d0bd90536c64f9,,,
ferramentas/sistemas/previews/cockpit-hidratacao.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1062103,a3267dd8c0689423ceb7c6b6188fc9e794def026ac11409866b12438c86d2b0d,,,
ferramentas/sistemas/previews/cockpit-pedais.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1138583,c79ce9a3b221c360a6f6030568c7611e83fd1b30be70c25b8a0053889f96267f,,,
ferramentas/sistemas/previews/cockpit-side.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,978113,b702ef2b93504885c58b3bc2b19b886da2df999f7ce330190e22f835e4481627,,,
ferramentas/sistemas/previews/cooling-hero.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1016713,3622af678afd000df6248c1b18b8b1c4e90584ce5d2b4c6e7477bc3edd70bf43,,,
ferramentas/sistemas/previews/cooling-side.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,957542,1e6aef3b9c31d63dfc5ed6827394857e7c4711a6d73d91b9a27a3a9cc9f75b7d,,,
ferramentas/sistemas/previews/cooling-sidepod-direito.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1053701,8d66bd2349b694078bf76fefd954c81ddcba05b5a0123f92851f0cd934b773f0,,,
ferramentas/sistemas/previews/cooling-sidepod-esquerdo.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1063183,bdb941de0321a8f6bceea96d74a9e2a3a7e2c3a8c6ec950736a623932f30df28,,,
ferramentas/sistemas/previews/cooling-superior.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,1039766,c5d12b47e7e573f7f4126d3fdfc8f62c59bb2179379146190b4ee786e2d9203c,,,
ferramentas/sistemas/previews/ers-energy-store.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,960746,9459063b3f50aad82f88b531d0ee6a8b1081eb382511c8fb8c9f965711703469,,,
ferramentas/sistemas/previews/ers-hero.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,987837,18b360ffbba3ac62fd8b664d071b8c93f5e5356fafad7ba6ccf43ae0c51e0b90,,,
ferramentas/sistemas/previews/ers-inversor.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,778709,91b6559e82ac5dd0bbaac2873e6ab2a8afac4d6019a07002f5dd0bbd4dfc573d,,,
ferramentas/sistemas/previews/ers-mgu-k.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,890019,28b42dae71a9d2ce202ad2f323bac33b605b12e7bed437c492a137c7f307dca7,,,
ferramentas/sistemas/previews/ers-side.png,png,evidência visual gerada,Prévia gerada para revisão visual de um sistema interno,Comparar com a especificação; não é asset carregado pelo runtime,916208,4496d8d713f8c6eb62d41e977aa8247368f415290eb353b6846708c061b8be49,,,
